,task_id,task_name,reference_idx,reference_title,model_name,total_count,score
18,104,Potential Use in Clinical Card...,348,The Pulse of Artificial Intelligence in Cardiology: A Comprehensive Evaluation of State-of-the-art Large Language Models for Potential Use in Clinical Cardiology,gpt-4-0314,90,84.4
19,104,Potential Use in Clinical Card...,348,The Pulse of Artificial Intelligence in Cardiology: A Comprehensive Evaluation of State-of-the-art Large Language Models for Potential Use in Clinical Cardiology,palm-2-540B,90,55.6
20,105,assessment of risk of bias in ...,351,Zero- and few-shot prompting of generative large language models provides weak assessment of risk of bias in clinical trials.,gpt-3.5-turbo-1106,1200,45.4
21,105,assessment of risk of bias in ...,351,Zero- and few-shot prompting of generative large language models provides weak assessment of risk of bias in clinical trials.,med42-llama2-70B,1200,6.6
22,105,assessment of risk of bias in ...,351,Zero- and few-shot prompting of generative large language models provides weak assessment of risk of bias in clinical trials.,meditron-70B,1200,44.2
23,106,Diagnosis and Management of Ch...,357,Comparison of Large Language Models in Diagnosis and Management of Challenging Clinical Cases,claude-3-opus-20240229,20,48.3
24,106,Diagnosis and Management of Ch...,357,Comparison of Large Language Models in Diagnosis and Management of Challenging Clinical Cases,claude-3-sonnet-20240229,20,41.7
25,106,Diagnosis and Management of Ch...,357,Comparison of Large Language Models in Diagnosis and Management of Challenging Clinical Cases,gemini-1.5-pro,20,30.0
26,106,Diagnosis and Management of Ch...,357,Comparison of Large Language Models in Diagnosis and Management of Challenging Clinical Cases,gpt-3.5-turbo-0125,20,50.0
27,106,Diagnosis and Management of Ch...,357,Comparison of Large Language Models in Diagnosis and Management of Challenging Clinical Cases,gpt-4-turbo-2024-04-09,20,31.7
28,106,Diagnosis and Management of Ch...,357,Comparison of Large Language Models in Diagnosis and Management of Challenging Clinical Cases,gpt-4o-2024-05-13 (open),20,49.15
29,106,Diagnosis and Management of Ch...,357,Comparison of Large Language Models in Diagnosis and Management of Challenging Clinical Cases,perplexity,20,24.2
30,107,Taiwan Psychiatric Licensing E...,359,"Comparing the performance of ChatGPT GPT??, Bard, and Llama?? in the Taiwan Psychiatric Licensing Examination and in differential diagnosis with multi?릀enter psychiatrists",gpt-4-0613,100,69.0
31,107,Taiwan Psychiatric Licensing E...,359,"Comparing the performance of ChatGPT GPT??, Bard, and Llama?? in the Taiwan Psychiatric Licensing Examination and in differential diagnosis with multi?릀enter psychiatrists",llama-2-13B,100,25.0
32,107,Taiwan Psychiatric Licensing E...,359,"Comparing the performance of ChatGPT GPT??, Bard, and Llama?? in the Taiwan Psychiatric Licensing Examination and in differential diagnosis with multi?릀enter psychiatrists",palm-2-540B,100,36.0
33,108,standardized urology knowledge...,362,Performance of GPT-3.5 and GPT-4 on standardized urology knowledge assessment items in the United States: a descriptive study.,gpt-3.5-turbo-0125,700,30.9
34,108,standardized urology knowledge...,362,Performance of GPT-3.5 and GPT-4 on standardized urology knowledge assessment items in the United States: a descriptive study.,gpt-4-0125-preview,700,44.4
35,109,identifying cancer phenotypes ...,364,"Leveraging GPT-4 for identifying cancer phenotypes in electronic health records: a performance comparison between GPT-4, GPT-3.5-turbo, Flan-T5, Llama-3-8B, and spaCy?셲 rule-based and machine learning-based methods",gpt-3.5-0301,13646,84.75
36,109,identifying cancer phenotypes ...,364,"Leveraging GPT-4 for identifying cancer phenotypes in electronic health records: a performance comparison between GPT-4, GPT-3.5-turbo, Flan-T5, Llama-3-8B, and spaCy?셲 rule-based and machine learning-based methods",gpt-4-0613,13646,87.0
37,109,identifying cancer phenotypes ...,364,"Leveraging GPT-4 for identifying cancer phenotypes in electronic health records: a performance comparison between GPT-4, GPT-3.5-turbo, Flan-T5, Llama-3-8B, and spaCy?셲 rule-based and machine learning-based methods",llama-3-8B,13646,82.0
38,11,quizzes for neuroradiology dia...,42,"Comparative Evaluation of AI Models Such as ChatGPT 3.5, ChatGPT 4.0, and Google Gemini in Neuroradiology Diagnostics",gemini-1.5-pro,262,55.73
39,11,quizzes for neuroradiology dia...,42,"Comparative Evaluation of AI Models Such as ChatGPT 3.5, ChatGPT 4.0, and Google Gemini in Neuroradiology Diagnostics",gpt-3.5-turbo-0125,262,62.6
40,11,quizzes for neuroradiology dia...,42,"Comparative Evaluation of AI Models Such as ChatGPT 3.5, ChatGPT 4.0, and Google Gemini in Neuroradiology Diagnostics",gpt-4-turbo-2024-04-09,262,64.89
41,110,Diagnosing Rare Diseases - rea...,367,Assessing DxGPT: Diagnosing Rare Diseases with Various Large Language Models,claude-3-opus-20240229,200,51.27
42,110,Diagnosing Rare Diseases - rea...,367,Assessing DxGPT: Diagnosing Rare Diseases with Various Large Language Models,claude-3-sonnet-20240229,200,41.9
43,110,Diagnosing Rare Diseases - rea...,367,Assessing DxGPT: Diagnosing Rare Diseases with Various Large Language Models,command-rplus,200,35.98
44,110,Diagnosing Rare Diseases - rea...,367,Assessing DxGPT: Diagnosing Rare Diseases with Various Large Language Models,gemini-1.5-pro,200,44.97
45,110,Diagnosing Rare Diseases - rea...,367,Assessing DxGPT: Diagnosing Rare Diseases with Various Large Language Models,gpt-4-0613,200,47.12
46,110,Diagnosing Rare Diseases - rea...,367,Assessing DxGPT: Diagnosing Rare Diseases with Various Large Language Models,gpt-4-1106-preview,200,53.075
47,110,Diagnosing Rare Diseases - rea...,367,Assessing DxGPT: Diagnosing Rare Diseases with Various Large Language Models,llama-2-7B,200,22.27
48,110,Diagnosing Rare Diseases - rea...,367,Assessing DxGPT: Diagnosing Rare Diseases with Various Large Language Models,llama-3-70B,200,48.99
49,110,Diagnosing Rare Diseases - rea...,367,Assessing DxGPT: Diagnosing Rare Diseases with Various Large Language Models,llama-3-8B,200,38.16
50,110,Diagnosing Rare Diseases - rea...,367,Assessing DxGPT: Diagnosing Rare Diseases with Various Large Language Models,mistral-7B-instruct-v0.3,200,27.85
51,110,Diagnosing Rare Diseases - rea...,367,Assessing DxGPT: Diagnosing Rare Diseases with Various Large Language Models,mixtral-8x22B,200,39.13
52,110,Diagnosing Rare Diseases - rea...,367,Assessing DxGPT: Diagnosing Rare Diseases with Various Large Language Models,mixtral-8x7B,200,30.98
53,111,Clinical Trial Matching: A Stu...,380,Utilizing Large Language Models for Enhanced Clinical Trial Matching: A Study on Automation in Patient Screening,gpt-3.5-turbo-1106,182,78.52
54,111,Clinical Trial Matching: A Stu...,380,Utilizing Large Language Models for Enhanced Clinical Trial Matching: A Study on Automation in Patient Screening,gpt-4-1106-preview,40,85.89
55,112,assessing decision-making abil...,382,Amplifying Chinese physicians??emphasis on patients??psychological states beyond urologic diagnoses with ChatGPT ??a multicenter cross-sectional study,gpt-3.5-turbo-0613,69,33.2
56,112,assessing decision-making abil...,382,Amplifying Chinese physicians??emphasis on patients??psychological states beyond urologic diagnoses with ChatGPT ??a multicenter cross-sectional study,gpt-4-0613,69,44.8
57,112,assessing decision-making abil...,382,Amplifying Chinese physicians??emphasis on patients??psychological states beyond urologic diagnoses with ChatGPT ??a multicenter cross-sectional study,human - doctors,69,39.0
58,113,"suggesting initial diagnosis, ...",386,"Systematic analysis of ChatGPT, Google search and Llama 2 for clinical decision support tasks",gpt-3.5-turbo-0613,110,93.33
59,113,"suggesting initial diagnosis, ...",386,"Systematic analysis of ChatGPT, Google search and Llama 2 for clinical decision support tasks",gpt-4-0613,110,96.67
60,113,"suggesting initial diagnosis, ...",386,"Systematic analysis of ChatGPT, Google search and Llama 2 for clinical decision support tasks",llama-2-7B-chat,110,80.0
61,114,Based on the guidelines of the...,390,Evidence-Based Potential of Generative Artificial Intelligence Large Language Models on Dental Avulsion: ChatGPT Versus Gemini.,gemini-1.5-pro,33,84.8
62,114,Based on the guidelines of the...,390,Evidence-Based Potential of Generative Artificial Intelligence Large Language Models on Dental Avulsion: ChatGPT Versus Gemini.,gpt-4-turbo-2024-04-09,33,69.0
63,115,neuroradiology clinical decisi...,392,A Comparative Evaluation of Large Language Model Utility in Neuroimaging Clinical Decision Support.,claude-1.1,24,79.2
64,115,neuroradiology clinical decisi...,392,A Comparative Evaluation of Large Language Model Utility in Neuroimaging Clinical Decision Support.,gpt-3.5-turbo-0613,24,83.3
65,115,neuroradiology clinical decisi...,392,A Comparative Evaluation of Large Language Model Utility in Neuroimaging Clinical Decision Support.,gpt-4-0613,24,95.8
66,115,neuroradiology clinical decisi...,392,A Comparative Evaluation of Large Language Model Utility in Neuroimaging Clinical Decision Support.,gpt-4-0613 (open),24,58.3
67,115,neuroradiology clinical decisi...,392,A Comparative Evaluation of Large Language Model Utility in Neuroimaging Clinical Decision Support.,llama-2-13B,24,20.8
68,115,neuroradiology clinical decisi...,392,A Comparative Evaluation of Large Language Model Utility in Neuroimaging Clinical Decision Support.,palm-1-540B,24,54.2
69,115,neuroradiology clinical decisi...,392,A Comparative Evaluation of Large Language Model Utility in Neuroimaging Clinical Decision Support.,perplexity,24,79.2
70,116,diagnosing ophthalmic patholog...,395,A comparative study on the knowledge levels of artificial intelligence programs in diagnosing ophthalmic pathologies and intraocular tumors evaluated their superiority and potential utility.,gpt-4-0613 (open),36,63.9
71,116,diagnosing ophthalmic patholog...,395,A comparative study on the knowledge levels of artificial intelligence programs in diagnosing ophthalmic pathologies and intraocular tumors evaluated their superiority and potential utility.,gpt-4-turbo-2024-04-09,36,58.6
72,116,diagnosing ophthalmic patholog...,395,A comparative study on the knowledge levels of artificial intelligence programs in diagnosing ophthalmic pathologies and intraocular tumors evaluated their superiority and potential utility.,palm-2-540B,36,69.4
73,117,Clinical Concept Extraction in...,399,BURExtract-Llama: An LLM for Clinical Concept Extraction in Breast Ultrasound Reports,gpt-4-turbo-2024-04-09,120,84.7
74,117,Clinical Concept Extraction in...,399,BURExtract-Llama: An LLM for Clinical Concept Extraction in Breast Ultrasound Reports,llama-3-8B-instruct,120,79.4
75,118,decision making for Emergency ...,401,COMPARISON OF PERFORMANCES OF OPEN ACCESS NATURAL LANGUAGE PROCESSING BASED CHATBOT APPLICATIONS IN TRIAGE DECISIONS,claude-1.1,50,86.5
76,118,decision making for Emergency ...,401,COMPARISON OF PERFORMANCES OF OPEN ACCESS NATURAL LANGUAGE PROCESSING BASED CHATBOT APPLICATIONS IN TRIAGE DECISIONS,gpt-4-0613,50,89.9
77,118,decision making for Emergency ...,401,COMPARISON OF PERFORMANCES OF OPEN ACCESS NATURAL LANGUAGE PROCESSING BASED CHATBOT APPLICATIONS IN TRIAGE DECISIONS,palm-2-540B,50,79.1
78,119,Understanding of Emergency Med...,404,Can Large Language Models Provide Emergency Medical Help Where There Is No Ambulance? A Comparative Study on Large Language Model Understanding of Emergency Medical Scenarios in Resource-Constrained Settings,claude-3-opus-20240229,107,72.8
79,119,Understanding of Emergency Med...,404,Can Large Language Models Provide Emergency Medical Help Where There Is No Ambulance? A Comparative Study on Large Language Model Understanding of Emergency Medical Scenarios in Resource-Constrained Settings,claude-3-sonnet-20240229,107,77.0
80,119,Understanding of Emergency Med...,404,Can Large Language Models Provide Emergency Medical Help Where There Is No Ambulance? A Comparative Study on Large Language Model Understanding of Emergency Medical Scenarios in Resource-Constrained Settings,gemini-1.5-pro,107,71.5
81,119,Understanding of Emergency Med...,404,Can Large Language Models Provide Emergency Medical Help Where There Is No Ambulance? A Comparative Study on Large Language Model Understanding of Emergency Medical Scenarios in Resource-Constrained Settings,gpt-4-0125-preview,107,69.4
82,12,radiation oncology physics que...,45,"Evaluating large language models on a highly-specialized topic, radiation oncology physics",bloomz-7B,100,43.0
83,12,radiation oncology physics que...,45,"Evaluating large language models on a highly-specialized topic, radiation oncology physics",gpt-3.5-turbo-0613,100,53.0
84,12,radiation oncology physics que...,45,"Evaluating large language models on a highly-specialized topic, radiation oncology physics",gpt-4-0613,100,75.0
85,12,radiation oncology physics que...,45,"Evaluating large language models on a highly-specialized topic, radiation oncology physics",human - doctors,100,68.0
86,12,radiation oncology physics que...,45,"Evaluating large language models on a highly-specialized topic, radiation oncology physics",human - nonexperts,100,28.0
87,12,radiation oncology physics que...,45,"Evaluating large language models on a highly-specialized topic, radiation oncology physics",palm-2-540B,100,33.0
88,120,provide clinical recommendatio...,408,Evaluating the use of large language models to provide clinical recommendations in the Emergency Department,gpt-3.5-0301,10000,51.1
89,120,provide clinical recommendatio...,408,Evaluating the use of large language models to provide clinical recommendations in the Emergency Department,gpt-4-1106-preview,10000,69.75
90,120,provide clinical recommendatio...,408,Evaluating the use of large language models to provide clinical recommendations in the Emergency Department,human - doctors,10000,80.0
91,121,103 questions from the Japan R...,411,"Performance evaluation of ChatGPT, GPT-4, and Bard on the official board examination of the Japan Radiology Society",gpt-3.5-0301,103,40.8
92,121,103 questions from the Japan R...,411,"Performance evaluation of ChatGPT, GPT-4, and Bard on the official board examination of the Japan Radiology Society",gpt-4-0314,103,65.0
93,121,103 questions from the Japan R...,411,"Performance evaluation of ChatGPT, GPT-4, and Bard on the official board examination of the Japan Radiology Society",palm-1-540B,103,38.8
94,122,Structuring of Free-Text Surgi...,414,Precision Structuring of Free-Text Surgical Record for Enhanced Stroke Management: A Comparative Evaluation of Large Language Models,gemini-1.5-pro,382,94.18
95,122,Structuring of Free-Text Surgi...,414,Precision Structuring of Free-Text Surgical Record for Enhanced Stroke Management: A Comparative Evaluation of Large Language Models,glm-4-9B,382,95.91
96,122,Structuring of Free-Text Surgi...,414,Precision Structuring of Free-Text Surgical Record for Enhanced Stroke Management: A Comparative Evaluation of Large Language Models,gpt-3.5-turbo-0125,382,92.0
97,122,Structuring of Free-Text Surgi...,414,Precision Structuring of Free-Text Surgical Record for Enhanced Stroke Management: A Comparative Evaluation of Large Language Models,gpt-4-turbo-2024-04-09,382,97.67
98,122,Structuring of Free-Text Surgi...,414,Precision Structuring of Free-Text Surgical Record for Enhanced Stroke Management: A Comparative Evaluation of Large Language Models,qwen-2.5-max,382,95.58
99,123,answering a set of 79 text-bas...,419,Comparative Accuracy of ChatGPT 4.0 and Google Gemini in Answering Pediatric Radiology Text-Based Questions,gemini-1.5-pro,79,68.4
100,123,answering a set of 79 text-bas...,419,Comparative Accuracy of ChatGPT 4.0 and Google Gemini in Answering Pediatric Radiology Text-Based Questions,gpt-4-turbo-2024-04-09,79,83.5
101,124,provide postoperative care rec...,421,Artificial Intelligence in Postoperative Care: Assessing Large Language Models for Patient Recommendations in Plastic Surgery,gemini-1.0-pro,32,81.2
102,124,provide postoperative care rec...,421,Artificial Intelligence in Postoperative Care: Assessing Large Language Models for Patient Recommendations in Plastic Surgery,gpt-3.5-turbo-1106,32,83.6
103,124,provide postoperative care rec...,421,Artificial Intelligence in Postoperative Care: Assessing Large Language Models for Patient Recommendations in Plastic Surgery,gpt-4-1106-preview,32,83.2
104,125,"151 multiple-choice questions,...",424,Large language models (LLMs) in radiology exams for medical students: Performance and consequences.,gpt-3.5-turbo-0613,151,67.6
105,125,"151 multiple-choice questions,...",424,Large language models (LLMs) in radiology exams for medical students: Performance and consequences.,gpt-4-0613,151,88.1
106,125,"151 multiple-choice questions,...",424,Large language models (LLMs) in radiology exams for medical students: Performance and consequences.,human - doctors,151,76.3
107,126,Caregivers of Pediatric Cancer...,427,Can Large Language Models Aid Caregivers of Pediatric Cancer Patients in Information Seeking? A Cross?륲ectional Investigation,gemini-1.0-pro,26,51.2
108,126,Caregivers of Pediatric Cancer...,427,Can Large Language Models Aid Caregivers of Pediatric Cancer Patients in Information Seeking? A Cross?륲ectional Investigation,gpt-4-1106-preview,26,54.2
109,126,Caregivers of Pediatric Cancer...,427,Can Large Language Models Aid Caregivers of Pediatric Cancer Patients in Information Seeking? A Cross?륲ectional Investigation,gpt-4-1106-preview (open),26,46.6
110,127,Identifying Interpretable Ling...,430,Leveraging Large Language Models for Identifying Interpretable Linguistic Markers and Enhancing Alzheimer's Disease Diagnostics,gpt-3.5-turbo-0125,166,68.0
111,127,Identifying Interpretable Ling...,430,Leveraging Large Language Models for Identifying Interpretable Linguistic Markers and Enhancing Alzheimer's Disease Diagnostics,gpt-4-turbo-2024-04-09,166,38.0
112,128,concerning the management and ...,432,Assessing the Role of the Generative Pretrained Transformer (GPT) in Alzheimer?셲 Disease Management: Comparative Study of Neurologist- and Artificial Intelligence?밎enerated Responses,gpt-3.5-turbo-0125,112,82.0
113,128,concerning the management and ...,432,Assessing the Role of the Generative Pretrained Transformer (GPT) in Alzheimer?셲 Disease Management: Comparative Study of Neurologist- and Artificial Intelligence?밎enerated Responses,gpt-4-turbo-2024-04-09,112,90.0
114,128,concerning the management and ...,432,Assessing the Role of the Generative Pretrained Transformer (GPT) in Alzheimer?셲 Disease Management: Comparative Study of Neurologist- and Artificial Intelligence?밎enerated Responses,human - doctors,112,74.0
115,129,the Hand Surgery Self-Assessme...,436,The Comparative Performance of Large Language Models on the Hand Surgery Self-Assessment Examination.,gpt-4-0613,999,66.5
116,129,the Hand Surgery Self-Assessme...,436,The Comparative Performance of Large Language Models on the Hand Surgery Self-Assessment Examination.,gpt-4-0613 (open),999,75.3
117,13,vignettes in physiology,51,"Performance of Large Language Models (ChatGPT, Bing Search, and Google Bard) in Solving Case Vignettes in Physiology",gpt-3.5-turbo-0613,77,79.75
118,13,vignettes in physiology,51,"Performance of Large Language Models (ChatGPT, Bing Search, and Google Bard) in Solving Case Vignettes in Physiology",gpt-4-0613 (open),77,53.75
119,13,vignettes in physiology,51,"Performance of Large Language Models (ChatGPT, Bing Search, and Google Bard) in Solving Case Vignettes in Physiology",palm-2-540B,77,72.75
120,130,the potential to support clini...,438,A context-based chatbot surpasses trained radiologists and generic ChatGPT in following the ACR appropriateness guidelines,gpt-3.5-0301,50,70.0
121,130,the potential to support clini...,438,A context-based chatbot surpasses trained radiologists and generic ChatGPT in following the ACR appropriateness guidelines,gpt-4-0314,50,79.0
122,130,the potential to support clini...,438,A context-based chatbot surpasses trained radiologists and generic ChatGPT in following the ACR appropriateness guidelines,human - doctors,50,66.0
123,131,evaluating first aid advice fo...,441,All You Need Is Context: Clinician Evaluations of various iterations of a Large Language Model-Based First Aid Decision Support Tool in Ghana,claude-3-sonnet-20240229,72,66.0
124,131,evaluating first aid advice fo...,441,All You Need Is Context: Clinician Evaluations of various iterations of a Large Language Model-Based First Aid Decision Support Tool in Ghana,gemini-1.5-pro,72,72.0
125,131,evaluating first aid advice fo...,441,All You Need Is Context: Clinician Evaluations of various iterations of a Large Language Model-Based First Aid Decision Support Tool in Ghana,gpt-4-1106-preview,72,68.0
126,132,assess the diagnostic capabili...,444,An evaluation framework for clinical use of large language models in patient interaction tasks.,gpt-3.5-turbo-1106,2000,65.7
127,132,assess the diagnostic capabili...,444,An evaluation framework for clinical use of large language models in patient interaction tasks.,gpt-4-1106-preview,2000,82.0
128,132,assess the diagnostic capabili...,444,An evaluation framework for clinical use of large language models in patient interaction tasks.,llama-2-7B,2000,39.5
129,132,assess the diagnostic capabili...,444,An evaluation framework for clinical use of large language models in patient interaction tasks.,mistral-7B-instruct-v0.2,2000,63.7
130,133,assess the diagnostic capabili...,448,An evaluation framework for clinical use of large language models in patient interaction tasks.,gpt-3.5-turbo-1106,2000,46.7
131,133,assess the diagnostic capabili...,448,An evaluation framework for clinical use of large language models in patient interaction tasks.,gpt-4-1106-preview,2000,62.7
132,133,assess the diagnostic capabili...,448,An evaluation framework for clinical use of large language models in patient interaction tasks.,llama-2-7B,2000,31.9
133,133,assess the diagnostic capabili...,448,An evaluation framework for clinical use of large language models in patient interaction tasks.,mistral-7B-instruct-v0.2,2000,42.6
134,134,assess the diagnostic capabili...,452,An evaluation framework for clinical use of large language models in patient interaction tasks.,gpt-3.5-turbo-1106,2000,50.7
135,134,assess the diagnostic capabili...,452,An evaluation framework for clinical use of large language models in patient interaction tasks.,gpt-4-1106-preview,2000,66.9
136,134,assess the diagnostic capabili...,452,An evaluation framework for clinical use of large language models in patient interaction tasks.,llama-2-7B,2000,33.5
137,134,assess the diagnostic capabili...,452,An evaluation framework for clinical use of large language models in patient interaction tasks.,mistral-7B-instruct-v0.2,2000,51.3
138,135,radiation oncology in-training...,456,Benchmarking ChatGPT-4 on a radiation oncology in-training exam and Red Journal Gray Zone cases: potentials and challenges for ai-assisted medical education and decision making in radiation oncology,gpt-3.5-0301,315,62.05
139,135,radiation oncology in-training...,456,Benchmarking ChatGPT-4 on a radiation oncology in-training exam and Red Journal Gray Zone cases: potentials and challenges for ai-assisted medical education and decision making in radiation oncology,gpt-4-0314,315,78.77
140,136,delivering primary prevention ...,458,The Role of Artificial Intelligence in the Primary Prevention of Common Musculoskeletal Diseases,gpt-3.5-turbo-0125,30,80.8
141,136,delivering primary prevention ...,458,The Role of Artificial Intelligence in the Primary Prevention of Common Musculoskeletal Diseases,gpt-4-turbo-2024-04-09,30,87.8
142,137,Ophthalmology Knowledge Assess...,460,Improved Performance of ChatGPT-4 on the OKAP Examination: A Comparative Study with ChatGPT-3.5,gpt-3.5-0301,180,57.0
143,137,Ophthalmology Knowledge Assess...,460,Improved Performance of ChatGPT-4 on the OKAP Examination: A Comparative Study with ChatGPT-3.5,gpt-4-0314,180,81.0
144,138,Seven paediatric cardiologists...,462,A guideline-informed language model for paediatric cardiology demonstrates high performance in answering complex medical questions,gpt-3.5-turbo-0125,72,64.7
145,138,Seven paediatric cardiologists...,462,A guideline-informed language model for paediatric cardiology demonstrates high performance in answering complex medical questions,gpt-4-0125-preview,72,80.0
146,138,Seven paediatric cardiologists...,462,A guideline-informed language model for paediatric cardiology demonstrates high performance in answering complex medical questions,gpt-4-turbo-2024-04-09,72,70.1
147,139,questions from the 2023 Americ...,465,Evaluating AI Proficiency in Nuclear Cardiology: Large Language Models take on the Board Preparation Exam,gemini-1.0-pro,168,40.5
148,139,questions from the 2023 Americ...,465,Evaluating AI Proficiency in Nuclear Cardiology: Large Language Models take on the Board Preparation Exam,gpt-4-0125-preview,168,58.75
149,139,questions from the 2023 Americ...,465,Evaluating AI Proficiency in Nuclear Cardiology: Large Language Models take on the Board Preparation Exam,gpt-4o-2024-05-13,168,63.1
150,14,Resident Surgeons in the Otorh...,52,"Evaluating the Performance of ChatGPT, Gemini, and Bing Compared with Resident Surgeons in the Otorhinolaryngology In-service Training Examination",gemini-1.0-pro,316,40.5
151,14,Resident Surgeons in the Otorh...,52,"Evaluating the Performance of ChatGPT, Gemini, and Bing Compared with Resident Surgeons in the Otorhinolaryngology In-service Training Examination",gpt-4-0314,316,54.75
152,14,Resident Surgeons in the Otorh...,52,"Evaluating the Performance of ChatGPT, Gemini, and Bing Compared with Resident Surgeons in the Otorhinolaryngology In-service Training Examination",gpt-4-0314 (open),316,37.0
153,14,Resident Surgeons in the Otorh...,52,"Evaluating the Performance of ChatGPT, Gemini, and Bing Compared with Resident Surgeons in the Otorhinolaryngology In-service Training Examination",human - doctors,316,61.2
154,140,rare disease phenotyping from ...,469,A hybrid framework with large language models for rare disease phenotyping,biomistral-7B,362,52.19
155,140,rare disease phenotyping from ...,469,A hybrid framework with large language models for rare disease phenotyping,llama-3-8B,362,68.34
156,140,rare disease phenotyping from ...,469,A hybrid framework with large language models for rare disease phenotyping,mistral-7B-instruct-v0.2,362,57.43
157,140,rare disease phenotyping from ...,469,A hybrid framework with large language models for rare disease phenotyping,phi-3-mini,362,69.21
158,141,depressionanxiety comorbidity ...,473,Still Not Quite There! Evaluating Large Language Models for Comorbid Mental Health Diagnosis,gpt-3.5-turbo-0125,2876,48.95
159,141,depressionanxiety comorbidity ...,473,Still Not Quite There! Evaluating Large Language Models for Comorbid Mental Health Diagnosis,gpt-4-turbo-2024-04-09,2876,73.65
160,141,depressionanxiety comorbidity ...,473,Still Not Quite There! Evaluating Large Language Models for Comorbid Mental Health Diagnosis,llama-2-13B-chat,2876,48.2
161,141,depressionanxiety comorbidity ...,473,Still Not Quite There! Evaluating Large Language Models for Comorbid Mental Health Diagnosis,llama-2-7B-chat,2876,27.5
162,142,Extraction of International Cl...,477,Benchmarking Large Language Models for Extraction of International Classification of Diseases Codes from Clinical Documentation,claude-2.0,165,9.9
163,142,Extraction of International Cl...,477,Benchmarking Large Language Models for Extraction of International Classification of Diseases Codes from Clinical Documentation,claude-3-sonnet-20240229,165,12.7
164,142,Extraction of International Cl...,477,Benchmarking Large Language Models for Extraction of International Classification of Diseases Codes from Clinical Documentation,gemini-1.0-ultra,165,12.2
165,142,Extraction of International Cl...,477,Benchmarking Large Language Models for Extraction of International Classification of Diseases Codes from Clinical Documentation,gpt-3.5-turbo-0125,165,12.4
